# El banco del prototipo 21 con lo que cada caso ya sabemos que es, para que el
# careo con el Límite honesto se pueda repetir sin volver a leer el informe.
#
# censo    el desenlace que research 14 §1 le dio al caso: correcto, fuga,
#          invento, deformacion o rechazo. La suma reproduce su tabla:
#          42 correctos, 12 fugas, 6 inventos, 2 deformaciones, 1 rechazo = 63.
# valido   qué contesta el parser de Mermaid 11.12 sobre jsdom (prototipo 21,
#          `contraste/contrasta.mjs`). Sin él un caso que mmdr destroza no se
#          distingue de un caso mal escrito.
# espera   lo que el reparto de DECISIONS §4 pide del Límite honesto: se rechaza
#          lo que se ve de más —el invento— y se dibuja todo lo demás, fugas
#          incluidas. `libre` es donde la doctrina no se moja: la deformación
#          dibuja lo escrito, mal, y §4 no dice de qué lado cae.
#
# El `rechazo` de cd-02 es del validador del crate, que §3.1 degradó a
# diagnóstico: hoy el fuente entra por el camino permisivo, y es Mermaid válido.
# sonda-03 sale de aquí con censo `invento`: mmdr parte `api-gateway` en cinco
# nodos, tres de ellos fabricados, así que el rechazo es merecido.
# fc-br-01 y fc-br-02 entraron al banco después del censo (riesgo 3 del §11.2):
# van con banco=no y no cuentan en los 63.
#
# corpus	caso	banco	censo	valido	espera
cases	cd-01-namespace	si	fuga	si	dibujo
cases	cd-02-annotation	si	rechazo	si	dibujo
cases	cd-03-cardinality	si	correcto	si	dibujo
cases	cd-04-relation-label	si	correcto	si	dibujo
cases	cd-05-note	si	fuga	si	dibujo
cases	cd-06-members	si	correcto	si	dibujo
cases	cd-07-generic	si	correcto	si	dibujo
cases	cd-08-direction	si	correcto	si	dibujo
cases	cd-09-link	si	fuga	si	dibujo
cases	cd-10-cssclass	si	fuga	si	dibujo
cases	cd-11-abstract-static	si	correcto	si	dibujo
cases	cd-12-relation-kinds	si	invento	si	rechazo
cases	cd-13-etiqueta-clase	si	invento	si	rechazo
cases	cd-14-cuerpo-vacio	si	correcto	si	dibujo
cases	cd-15-namespace-anidado	si	fuga	si	dibujo
cases	cd-16-linea-suelta	si	fuga	si	dibujo
cases	er-01-atributos	si	correcto	si	dibujo
cases	fc-01-subgraph-direction	si	correcto	si	dibujo
cases	fc-02-click	si	fuga	si	dibujo
cases	fc-03-acc	si	fuga	si	dibujo
cases	fc-04-shape-at	si	invento	si	rechazo
cases	fc-05-edge-length	si	fuga	si	dibujo
cases	fc-06-ampersand	si	correcto	si	dibujo
cases	fc-07-nested-subgraph	si	correcto	si	dibujo
cases	fc-08-edge-label	si	correcto	si	dibujo
cases	fc-09-markdown-label	si	deformacion	si	libre
cases	fc-10-comment	si	correcto	si	dibujo
cases	fc-11-header-desnuda	si	invento	si	rechazo
cases	fc-12-nota-como-nodo	si	correcto	si	dibujo
cases	fc-13-init-directive	si	fuga	si	dibujo
cases	fc-14-subgraph-etiqueta	si	correcto	si	dibujo
cases	fc-15-classdef	si	correcto	si	dibujo
cases	fc-16-formas	si	correcto	si	dibujo
cases	fc-17-linea-suelta	si	invento	no	rechazo
cases	fc-br-01-html-etiqueta	no	deformacion	si	libre
cases	fc-br-02-salto-linea	no	correcto	si	dibujo
cases	seq-01-note	si	correcto	si	dibujo
cases	seq-02-alt	si	correcto	si	dibujo
cases	seq-03-box	si	correcto	si	dibujo
cases	st-01-note	si	correcto	si	dibujo
cases	st-02-composite	si	correcto	si	dibujo
cases	st-03-choice	si	correcto	si	dibujo
familias	01-flowchart	si	correcto	si	dibujo
familias	02-class	si	correcto	si	dibujo
familias	03-state	si	correcto	si	dibujo
familias	04-sequence	si	correcto	si	dibujo
familias	05-er	si	correcto	si	dibujo
familias	06-pie	si	correcto	si	dibujo
familias	07-mindmap	si	correcto	si	dibujo
familias	08-journey	si	correcto	si	dibujo
familias	09-timeline	si	correcto	si	dibujo
familias	10-gantt	si	correcto	si	dibujo
familias	11-requirement	si	correcto	si	dibujo
familias	12-gitgraph	si	correcto	si	dibujo
familias	13-c4	si	fuga	si	dibujo
familias	14-sankey	si	correcto	si	dibujo
familias	15-quadrant	si	correcto	si	dibujo
familias	16-zenuml	si	deformacion	no	libre
familias	17-block	si	correcto	si	dibujo
familias	18-packet	si	correcto	si	dibujo
familias	19-kanban	si	correcto	si	dibujo
familias	20-architecture	si	fuga	si	dibujo
familias	21-radar	si	invento	si	rechazo
familias	22-treemap	si	correcto	si	dibujo
familias	23-xychart	si	correcto	si	dibujo
sondas	sonda-01-subgraph-sin-id	no	correcto	si	dibujo
sondas	sonda-02-subgraph-titulo-con-espacios	no	correcto	si	dibujo
sondas	sonda-03-id-con-guion	no	invento	si	rechazo
sondas	sonda-04-id-con-punto	no	correcto	si	dibujo
sondas	sonda-05-id-acentuado	no	correcto	si	dibujo
sondas	sonda-06-generico-sin-asimetria	no	correcto	si	dibujo
sondas	sonda-07-clase-nunca-declarada	no	correcto	si	rechazo
sondas	sonda-08-participante-implicito	no	correcto	si	dibujo
sondas	sonda-09-estado-inicial	no	correcto	si	dibujo
